method,path,controller,action
GET,/Api-Event-Organisers-List,api.'/getEventOrganisersList',index
GET,/Api-Save-Event-Organiser,api.'/saveEventOrganiser',index
GET,/Api-Delete-Event-Organiser,api.'/deleteEventOrganiser',index
GET,/Api-Event-Attendees-List,api.'/getEventAttendeesList',index
GET,/Api-Save-Event-Attendee,api.'/saveEventAttendee',index
GET,/Api-Delete-Event-Attendee,api.'/deleteEventAttendee',index
GET,/Api-View-Events-Attended,api.'/getEventsAttendedList',index
GET,/Api-View-Events-Organised,api.'/getEventsOrganisedList',index
GET,/Api-Folders-List-By-Type,api.'/getFoldersListByType',index
GET,/Api-Add-Folder-By-Type,api.'/saveFolderByType',index
GET,/Api-Sub-Folders-List,api.'/getSubFoldersList',index
GET,/Api-Add-Sub-Folder,api.'/saveSubFolder',index
GET,/Api-Edit-Sub-Folder,api.'/editSubFolder',index
GET,/Api-Delete-Sub-Folder,api.'/deleteSubFolder',index
GET,/Api-Add-Contact,api.'/saveContact',index
GET,/Api-Contacts-List,api.'/getContactsList',index
GET,/Api-Add-Contact-Visiting-Card,api.'/saveContactVisitingCard',index
GET,/Api-View-Contact-Visiting-Card,api.'/getContactVisitingCardInformation',index
GET,/Api-Legal-Terms,api.'/legalTerms',index
GET,/Api-Activate-Card,api.'/activateCard',index
GET,/Api-View-Business-Card,api.'/getBusinessCardInformation',index
GET,/Api-Promotions-List,api.'/getPromotionsList',index
GET,/Api-Service-Master-List,api.'/getServicesMasterList',index
GET,/Api-Save-Service-Provider,api.'/saveServiceProvider',index
GET,/Api-Services-List,api.'/getServicesList',index
GET,/Api-Save-Service-Details,api.'/saveServiceDetails',index
GET,/Api-View-Service-Details,api.'/getServiceDetail',index
GET,/Api-All-Services-List,api.'/getAllServicesList',index
GET,/Api-Service-Unlock,api.'/serviceUnlock',index
GET,/Api-All-Service-Unlock-List,api.'/getAllServiceUnlockList',index
GET,/Api-Add-Review-Rating,api.'/saveReviewRating',index
GET,/Api-Save-Investor,api.'/saveInvestor',index
GET,/Api-All-Investors-List,api.'/getAllInvestorsList',index
GET,/Api-View-Investor-Details,api.'/getInvestorDetail',index
GET,/Api-Investor-Unlock,api.'/investorUnlock',index
GET,/Api-Add-Investor-Review-Rating,api.'/saveInvestorReviewRating',index
GET,/Api-My-Investor-Profile,api.'/getInvestorProfile',index
GET,/Api-My-Investor-Meets,api.'/getInvestorMeets',index
GET,/Api-Investor-Desk,api.'/getInvestorDesk',index
GET,/Api-Chat-Users-List,api.'/getChatUsersList',index
GET,/Api-Save-Chat,api.'/saveChat',index
GET,/Api-View-Chat,api.'/getChat',index
